"NCBI","name","skin_species_prevalence","vagina_species_prevalence","oralcavity_species_prevalence","nasalcavity_species_prevalence","stool_species_prevalence"
"1747","Cutibacterium acnes",0.958563535911602,0.0526315789473684,0.298484848484848,0.978260869565217,0.0308892355694228
"1282","Staphylococcus epidermidis",0.953038674033149,0.0315789473684211,0.0181818181818182,0.83695652173913,0.00520020800832033
"76775","Malassezia restricta",0.856353591160221,0.0105263157894737,0.00606060606060606,0.66304347826087,0.000416016640665627
"29388","Staphylococcus capitis",0.74585635359116,0.0105263157894737,0.00151515151515152,0.195652173913043,0.00062402496099844
"33011","Cutibacterium granulosum",0.726519337016575,0.0105263157894737,0.00303030303030303,0.565217391304348,0.00062402496099844
"76773","Malassezia globosa",0.696132596685083,0,0,0.0652173913043478,0.000104004160166407
"1290","Staphylococcus hominis",0.649171270718232,0.0105263157894737,0.00303030303030303,0,0.00145605824232969
"28037","Streptococcus mitis",0.640883977900553,0.0105263157894737,0.954545454545455,0.33695652173913,0.186479459178367
"1270","Micrococcus luteus",0.613259668508287,0,0.00909090909090909,0.0108695652173913,0.000832033281331253
"38303","Corynebacterium pseudogenitalium",0.580110497237569,0,0,0.217391304347826,0.000728029121164847
"1260","Finegoldia magna",0.549723756906077,0.0736842105263158,0,0.228260869565217,0.0388975559022361
"34062","Moraxella osloensis",0.533149171270718,0,0.00757575757575758,0.0217391304347826,0.00208008320332813
"1303","Streptococcus oralis",0.502762430939227,0.0105263157894737,0.974242424242424,0.152173913043478,0.120020800832033
"1574624","Cutibacterium namnetense",0.5,0.0105263157894737,0.00151515151515152,0.0978260869565217,0.000208008320332813
"38304","Corynebacterium tuberculostearicum",0.480662983425414,0,0,0.119565217391304,0.000208008320332813
"225324","Enhydrobacter aerosaccus",0.458563535911602,0,0.00454545454545455,0.0108695652173913,0.00145605824232969
"43675","Rothia mucilaginosa",0.44475138121547,0.0105263157894737,0.907575757575758,0.0869565217391304,0.184503380135205
